Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
15	:	1596159763.997	    60.962	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD481FXF_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD481FXF_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD481FXF_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD481FXF_ses-1//ls-Lar.stderr
13	:	1596159709.573	   125.179	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD224CRB_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD224CRB_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD224CRB_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD224CRB_ses-1//ls-Lar.stderr
18	:	1596159816.614	    37.694	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE199TDD_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE199TDD_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE199TDD_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE199TDD_ses-1//ls-Lar.stderr
10	:	1596159688.297	   167.298	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC853DTE_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC853DTE_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC853DTE_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC853DTE_ses-1//ls-Lar.stderr
16	:	1596159812.018	    57.825	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD615WLJ_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD615WLJ_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD615WLJ_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD615WLJ_ses-1//ls-Lar.stderr
22	:	1596159856.783	    74.835	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAG115LZP_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAG115LZP_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAG115LZP_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAG115LZP_ses-1//ls-Lar.stderr
12	:	1596159706.933	   240.985	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC904DMU_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC904DMU_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC904DMU_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAC904DMU_ses-1//ls-Lar.stderr
20	:	1596159842.335	   108.680	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE358VBE_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE358VBE_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE358VBE_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE358VBE_ses-1//ls-Lar.stderr
19	:	1596159824.969	   126.625	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE270LEZ_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE270LEZ_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE270LEZ_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE270LEZ_ses-1//ls-Lar.stderr
17	:	1596159812.481	   144.447	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE012DGA_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE012DGA_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE012DGA_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE012DGA_ses-1//ls-Lar.stderr
21	:	1596159854.520	   106.568	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE877NER_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE877NER_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE877NER_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAE877NER_ses-1//ls-Lar.stderr
14	:	1596159763.382	   197.940	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD232HVV_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD232HVV_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD232HVV_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAD232HVV_ses-1//ls-Lar.stderr
28	:	1596159956.943	    56.653	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAJ366ZFA_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAJ366ZFA_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAJ366ZFA_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAJ366ZFA_ses-1//ls-Lar.stderr
29	:	1596159961.096	    75.036	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAK187ZLP_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAK187ZLP_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAK187ZLP_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAK187ZLP_ses-1//ls-Lar.stderr
24	:	1596159940.613	   134.175	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH304ED7_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH304ED7_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH304ED7_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH304ED7_ses-1//ls-Lar.stderr
26	:	1596159951.429	   133.467	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH793FBF_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH793FBF_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH793FBF_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH793FBF_ses-1//ls-Lar.stderr
31	:	1596160018.294	    74.457	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM277WZT_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM277WZT_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM277WZT_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM277WZT_ses-1//ls-Lar.stderr
30	:	1596159961.330	   132.896	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAK738BGC_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAK738BGC_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAK738BGC_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAK738BGC_ses-1//ls-Lar.stderr
23	:	1596159870.259	   227.908	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAG340ERT_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAG340ERT_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAG340ERT_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAG340ERT_ses-1//ls-Lar.stderr
34	:	1596160084.909	    15.812	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM873GAC_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM873GAC_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM873GAC_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM873GAC_ses-1//ls-Lar.stderr
25	:	1596159947.929	   163.627	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH503YG1_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH503YG1_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH503YG1_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH503YG1_ses-1//ls-Lar.stderr
32	:	1596160040.623	    73.186	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM675UR8_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM675UR8_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM675UR8_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM675UR8_ses-1//ls-Lar.stderr
27	:	1596159951.605	   164.707	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH948UF0_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH948UF0_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH948UF0_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAH948UF0_ses-1//ls-Lar.stderr
38	:	1596160100.733	    48.171	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP176AD1_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP176AD1_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP176AD1_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP176AD1_ses-1//ls-Lar.stderr
35	:	1596160092.764	    74.729	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAN262WK6_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAN262WK6_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAN262WK6_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAN262WK6_ses-1//ls-Lar.stderr
36	:	1596160094.234	   131.862	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAN814UPR_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAN814UPR_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAN814UPR_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAN814UPR_ses-1//ls-Lar.stderr
33	:	1596160078.837	   149.512	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM848GTE_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM848GTE_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM848GTE_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAM848GTE_ses-1//ls-Lar.stderr
43	:	1596160168.113	    62.515	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT100AEQ_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT100AEQ_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT100AEQ_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT100AEQ_ses-1//ls-Lar.stderr
39	:	1596160111.565	   119.386	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP522AFK_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP522AFK_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP522AFK_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP522AFK_ses-1//ls-Lar.stderr
42	:	1596160167.492	    64.527	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAR025WX4_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAR025WX4_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAR025WX4_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAR025WX4_ses-1//ls-Lar.stderr
41	:	1596160116.561	   194.765	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP964VDB_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP964VDB_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP964VDB_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP964VDB_ses-1//ls-Lar.stderr
44	:	1596160226.310	   123.417	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT299YRR_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT299YRR_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT299YRR_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT299YRR_ses-1//ls-Lar.stderr
37	:	1596160098.583	   253.309	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP176AD1_se/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP176AD1_se/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP176AD1_se//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP176AD1_se//ls-Lar.stderr
45	:	1596160228.467	   139.063	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT358XM9_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT358XM9_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT358XM9_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT358XM9_ses-1//ls-Lar.stderr
40	:	1596160113.819	   257.127	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP782TVC_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP782TVC_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP782TVC_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAP782TVC_ses-1//ls-Lar.stderr
46	:	1596160230.741	   142.644	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT581NDH_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT581NDH_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT581NDH_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT581NDH_ses-1//ls-Lar.stderr
48	:	1596160232.639	   141.347	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU530GLJ_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU530GLJ_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU530GLJ_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU530GLJ_ses-1//ls-Lar.stderr
47	:	1596160230.956	   144.304	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT680GJA_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT680GJA_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT680GJA_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAT680GJA_ses-1//ls-Lar.stderr
50	:	1596160349.736	    97.023	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU967RWU_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU967RWU_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU967RWU_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU967RWU_ses-1//ls-Lar.stderr
53	:	1596160370.961	    93.444	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV747WVL_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV747WVL_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV747WVL_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV747WVL_ses-1//ls-Lar.stderr
55	:	1596160373.996	    95.020	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV894XWD_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV894XWD_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV894XWD_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV894XWD_ses-1//ls-Lar.stderr
56	:	1596160375.879	   109.409	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV945MCQ_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV945MCQ_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV945MCQ_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV945MCQ_ses-1//ls-Lar.stderr
49	:	1596160315.778	   181.641	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU708TL8_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU708TL8_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU708TL8_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAU708TL8_ses-1//ls-Lar.stderr
54	:	1596160373.395	   126.835	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV820UEP_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV820UEP_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV820UEP_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV820UEP_ses-1//ls-Lar.stderr
51	:	1596160352.510	   153.447	0	0	0	0	mkdir -p data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV519RND_ses-1/; datalad ls -Lar s3://fcp-indi/data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV519RND_ses-1/ >data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV519RND_ses-1//ls-Lar 2>data/Projects/HBN/CPAC_preprocessed_Derivatives/sub-NDARAV519RND_ses-1//ls-Lar.stderr
